word,translation,example_sentence
Freund (de),friend (m.),Mein bester Freund.
Minute (de),minute (f.),Nur eine Minute!
Stadt (de),city (f.),Eine große Stadt.
wirklich (de),really,Wirklich wahr!
lieben (de),to love,Ich liebe dich.
zwischen (de),between,Zwischen uns.
sondern (de),but rather,Nicht du sondern ich.
nah (de),near/close,Ganz nah.
Möglichkeit (de),possibility (f.),Eine gute Möglichkeit.
gelten (de),to be valid/apply,Das gilt für alle.
verlieren (de),to lose,Ich verliere immer.
Platz (de),place/square/seat (m.),Ist hier noch ein Platz frei?
Gesicht (de),face (n.),Ein freundliches Gesicht.
Nacht (de),night (f.),Gute Nacht!
einander (de),each other,Wir helfen einander.
erkennen (de),to recognize,Ich erkenne dich!
treten (de),to step/kick,Tritt näher!
inzwischen (de),meanwhile,Inzwischen ist er da.
anders (de),different/differently,Ganz anders.
System (de),system (n.),Ein gutes System.
Blick (de),glance/view (m.),Auf den ersten Blick.
tot (de),dead,Der Baum ist tot.
Situation (de),situation (f.),Eine schwierige Situation.
vier (de),four,Vier Jahreszeiten.
betreffen (de),to concern/affect,Das betrifft uns alle.
damals (de),then/at that time,Damals war alles anders.
Problem (de),problem (n.),Kein Problem!
erhalten (de),to receive/preserve,Ich erhalte einen Brief.
genau (de),exact/exactly,Genau richtig!
Lage (de),situation/position (f.),Die Lage ist ernst.
tragen (de),to carry/wear,Ich trage eine Jacke.
Weise (de),way/manner (f.),Auf diese Weise.
verstehen (de),to understand,Ich verstehe dich.
Nummer (de),number (f.),Welche Nummer?
darauf (de),on it/thereupon,Darauf warten wir.
entscheiden (de),to decide,Du musst entscheiden.
entsprechen (de),to correspond,Das entspricht der Wahrheit.
erinnern (de),to remember/remind,Ich erinnere mich.
Woche (de),week (f.),Nächste Woche.
einfallen (de),to occur to/come up with,Mir fällt nichts ein.
hinaus (de),out,Geh hinaus!
dazu (de),to it/in addition,Dazu komme ich nicht.
deshalb (de),therefore,Deshalb bleibe ich.
Staat (de),state/country (m.),Der deutsche Staat.
einzeln (de),single/individual,Einzeln bitte.
Ergebnis (de),result (n.),Ein gutes Ergebnis.
überhaupt (de),at all/anyway,Überhaupt nicht!
solch (de),such,Solche Leute.
Rolle (de),role (f.),Eine wichtige Rolle.
offen (de),open,Die Tür ist offen.
statt (de),instead of,Statt Kaffee.
Angst (de),fear (f.),Ich habe Angst.
Körper (de),body (m.),Der menschliche Körper.
schließlich (de),finally/after all,Schließlich ist er da.
rot (de),red,Ein roter Apfel.
erklären (de),to explain,Erklär es mir!
Aufgabe (de),task/homework (f.),Eine schwere Aufgabe.
entdecken (de),to discover,Ich entdecke etwas Neues.
währenddessen (de),meanwhile,Währenddessen warte ich.
Hinweis (de),hint/clue (m.),Ein guter Hinweis.
Ton (de),tone/sound (m.),Ein tiefer Ton.
fehlen (de),to be missing/lack,Was fehlt dir?
deswegen (de),that's why,Deswegen bin ich hier.
Schule (de),school (f.),Ich gehe zur Schule.
neben (de),next to/beside,Neben mir.
zunächst (de),first/initially,Zunächst einmal.
daher (de),therefore/hence,Daher kommt das.
Familie (de),family (f.),Meine ganze Familie.
fühlen (de),to feel,Ich fühle mich gut.
nämlich (de),namely/you see,Das ist nämlich wichtig.
Arm (de),arm (m.),Mein rechter Arm.
rund (de),round/around,Rund um die Uhr.
gelangen (de),to get to/reach,Wie gelange ich dorthin?
Tier (de),animal (n.),Ein wildes Tier.
meinen (de),to mean/think,Was meinst du?
Sohn (de),son (m.),Mein Sohn ist zehn.
Bereich (de),area/field (m.),In diesem Bereich.
schlecht (de),bad,Schlechtes Wetter.
dunkel (de),dark,Es wird dunkel.
Zukunft (de),future (f.),In der Zukunft.
behalten (de),to keep/remember,Behalte das für dich.
darin (de),in it/therein,Darin liegt das Problem.
Mittel (de),means/remedy (n.),Kein Mittel dagegen.
Tür (de),door (f.),Schließ die Tür!
erfinden (de),to invent,Wer hat das erfunden?
je (de),ever/each,Je mehr desto besser.
außerdem (de),besides/moreover,Außerdem ist es teuer.
fortsetzen (de),to continue,Wir setzen fort.
aufnehmen (de),to take up/record,Ich nehme es auf.
benutzen (de),to use,Darf ich das benutzen?
verbinden (de),to connect/bandage,Verbinde die Punkte.
Politik (de),politics (f.),Die deutsche Politik.
sogar (de),even,Sogar du!
warten (de),to wait,Ich warte auf dich.
Gesellschaft (de),society/company (f.),Die moderne Gesellschaft.
aufgrund (de),due to/because of,Aufgrund des Wetters.
versuchen (de),to try,Ich versuche es.
Anfang (de),beginning (m.),Am Anfang.
handeln (de),to act/trade,Schnell handeln!
Ding (de),thing (n.),Ein kleines Ding.
weder (de),neither,Weder noch.
darum (de),therefore/about it,Darum geht es.
Tod (de),death (m.),Leben und Tod.
beziehen (de),to refer to/obtain,Ich beziehe mich darauf.
innerhalb (de),within/inside,Innerhalb einer Stunde.
verhalten (de),to behave,Verhalte dich gut!
Umstand (de),circumstance (m.),Unter diesen Umständen.
Morgen (de),morning (m.),Guten Morgen!
Schritt (de),step (m.),Schritt für Schritt.
abhängen (de),to depend on,Das hängt davon ab.
heben (de),to lift/raise,Heb die Hand!
entstehen (de),to arise/originate,Daraus entsteht ein Problem.
Richtung (de),direction (f.),In diese Richtung.
Gesetz (de),law (n.),Ein neues Gesetz.
Frage (de),question (f.),Eine dumme Frage.
nennen (de),to name/call,Wie nennt man das?
ergeben (de),to result in/yield,Das ergibt keinen Sinn.
insgesamt (de),altogether/in total,Insgesamt zwanzig.
außen (de),outside,Draußen vor der Tür.
wahr (de),true,Das ist wahr!
schreiben (de),to write,Ich schreibe einen Brief.
gehören (de),to belong,Das gehört mir.
übrigens (de),by the way,Übrigens ist er da.
Tisch (de),table (m.),Der Tisch ist rund.
Interesse (de),interest (n.),Großes Interesse.
nötig (de),necessary,Ist das nötig?
Krieg (de),war (m.),Der Zweite Weltkrieg.
Tochter (de),daughter (f.),Meine Tochter.
gefallen (de),to please,Das gefällt mir!
kämpfen (de),to fight,Für Freiheit kämpfen.
laut (de),loud/according to,Zu laut!
Herz (de),heart (n.),Mit ganzem Herzen.
erlauben (de),to allow/permit,Erlaubst du das?
erscheinen (de),to appear,Er erscheint plötzlich.
grün (de),green,Grünes Gras.
bemerken (de),to notice,Ich bemerke nichts.
wünschen (de),to wish,Ich wünsche dir viel Glück!
Geld (de),money (n.),Ich habe kein Geld.
Geist (de),spirit/ghost (m.),Ein freier Geist.
vorbei (de),past/over,Das ist vorbei.
bilden (de),to form/educate,Einen Satz bilden.
Stück (de),piece (n.),Ein Stück Kuchen.
Gegenwart (de),present (f.),In der Gegenwart.
Wert (de),value/worth (m.),Von großem Wert.
Schmerz (de),pain (m.),Große Schmerzen.
Liebe (de),love (f.),Die wahre Liebe.
schwarz (de),black,Eine schwarze Katze.
Licht (de),light (n.),Mach das Licht an!
vollständig (de),complete/completely,Vollständig fertig.
genug (de),enough,Das ist genug!
bereit (de),ready/prepared,Ich bin bereit.
wohnen (de),to live/reside,Wo wohnst du?
außerhalb (de),outside of,Außerhalb der Stadt.
zuerst (de),first/at first,Zuerst ich!
beschreiben (de),to describe,Beschreib es mir!
untersuchen (de),to examine,Der Arzt untersucht.
öffnen (de),to open,Öffne das Fenster!
verhindern (de),to prevent,Das lässt sich nicht verhindern.
Antwort (de),answer (f.),Die richtige Antwort.
Wille (de),will (m.),Der freie Wille.
verändern (de),to change,Alles verändert sich.
klar (de),clear,Alles klar!
Macht (de),power (f.),Die Macht des Geldes.
zahlen (de),to pay,Ich zahle die Rechnung.
übrig (de),remaining/left over,Was bleibt übrig?
Straße (de),street (f.),Auf der Straße.
beweisen (de),to prove,Beweise es mir!
enthalten (de),to contain,Was enthält das?
Kunst (de),art (f.),Moderne Kunst.
nächste (de),next,Das nächste Mal.
wachsen (de),to grow,Die Pflanzen wachsen.
Glück (de),luck/happiness (n.),Viel Glück!
Zweck (de),purpose (m.),Welchen Zweck hat das?
berichten (de),to report,Die Zeitung berichtet.
Feld (de),field (n.),Ein grünes Feld.
blau (de),blue,Der Himmel ist blau.
selten (de),rare/rarely,Sehr selten.
Prozess (de),process/trial (m.),Ein langer Prozess.
kümmern (de),to care for/worry,Kümmere dich darum!
kaputt (de),broken,Das Auto ist kaputt.
irgendwann (de),sometime/eventually,Irgendwann mal.
wahrnehmen (de),to perceive,Ich nehme es wahr.
vorhanden (de),available/present,Ist das vorhanden?
Blut (de),blood (n.),Blut ist rot.
allgemein (de),general/common,Im Allgemeinen.
Kirche (de),church (f.),Die alte Kirche.
wesentlich (de),essential/significant,Das Wesentliche.
schwierig (de),difficult,Sehr schwierig!
Unterschied (de),difference (m.),Ein großer Unterschied.
antworten (de),to answer,Antworte mir!
Bewegung (de),movement (f.),In Bewegung bleiben.
breit (de),wide/broad,Eine breite Straße.
Gefahr (de),danger (f.),Große Gefahr!
spät (de),late,Zu spät!
daneben (de),next to it/besides,Direkt daneben.
König (de),king (m.),Der alte König.
beachten (de),to observe/note,Bitte beachten!
bezeichnen (de),to designate/call,Wie bezeichnet man das?
besuchen (de),to visit,Ich besuche dich morgen.
Fähigkeit (de),ability (f.),Eine besondere Fähigkeit.
Wahrheit (de),truth (f.),Die reine Wahrheit.
lehren (de),to teach,Er lehrt Deutsch.
Hilfe (de),help (f.),Ich brauche Hilfe!
Erde (de),earth/soil (f.),Die ganze Erde.
Art (de),type/species/way (f.),Eine besondere Art.
wenden (de),to turn,Wende dich an ihn.
Maß (de),measure/degree (n.),In gewissem Maße.
Grund (de),reason/ground/basis (m.),Aus gutem Grund.
aussehen (de),to look/appear,Du siehst gut aus!
holen (de),to fetch/get,Hol mir Wasser!
eng (de),narrow/tight,Zu eng!
ähnlich (de),similar,Sehr ähnlich.
Luft (de),air (f.),Frische Luft.
kritisch (de),critical,Eine kritische Situation.
Stimme (de),voice/vote (f.),Eine laute Stimme.
sammeln (de),to collect/gather,Briefmarken sammeln.
Erfolg (de),success (m.),Viel Erfolg!
Wissenschaft (de),science (f.),Die moderne Wissenschaft.
Raum (de),space/room (m.),Viel Raum.
überlegen (de),to think over/superior,Ich überlege es mir.
fordern (de),to demand,Ich fordere eine Antwort.
hinzu (de),in addition/to it,Hinzu kommt noch.
gering (de),slight/small,Eine geringe Chance.
bezahlen (de),to pay for,Ich bezahle das Essen.
Unternehmen (de),company/enterprise (n.),Ein großes Unternehmen.
zwingen (de),to force,Niemand zwingt dich.
Ordnung (de),order (f.),Alles in Ordnung?
notwendig (de),necessary,Das ist notwendig.
Stein (de),stone (m.),Ein großer Stein.
senken (de),to lower/reduce,Die Preise senken.
retten (de),to save/rescue,Rette mich!
achten (de),to respect/pay attention,Achte darauf!
verkaufen (de),to sell,Ich verkaufe mein Auto.
darstellen (de),to represent/depict,Das stellt ein Problem dar.
gelb (de),yellow,Eine gelbe Blume.
reichen (de),to reach/be enough,Das reicht mir!
erfordern (de),to require,Das erfordert Mut.
betrachten (de),to consider/look at,Ich betrachte es genau.
leicht (de),light/easy,Federleicht!
erwarten (de),to expect,Ich erwarte dich.
Baum (de),tree (m.),Ein alter Baum.
drücken (de),to press/push,Drück den Knopf!
Sache (de),thing/matter/case (f.),Eine ernste Sache.
richten (de),to direct/judge,Richte dich danach.
Feuer (de),fire (n.),Ein großes Feuer.
ansehen (de),to look at/regard,Sieh mich an!
aufhören (de),to stop,Hör auf damit!
gering (de),small/minor,Geringe Kosten.
eigen (de),own/peculiar,Meine eigene Meinung.
bevor (de),before,Bevor du gehst.
Eindruck (de),impression (m.),Ein guter Eindruck.
weich (de),soft,Eine weiche Matratze.
bald (de),soon,Bis bald!
einzig (de),only/sole,Das einzige Problem.
Dorf (de),village (n.),Ein kleines Dorf.
klären (de),to clarify/clear up,Das muss geklärt werden.
behaupten (de),to claim/assert,Er behauptet das Gegenteil.
Seele (de),soul (f.),Eine verlorene Seele.
gesamt (de),entire/whole,Die gesamte Zeit.
schön (de),beautiful/nice,Ein schöner Tag!
jung (de),young,Jung und alt.
auftreten (de),to occur/appear,Probleme treten auf.
Plan (de),plan (m.),Ein guter Plan.
kühl (de),cool,Kühl und frisch.
damalig (de),at that time/then,Die damalige Situation.
pflegen (de),to care for/nurse,Die Pflanzen pflegen.
hell (de),bright/light,Ein helles Zimmer.
wild (de),wild,Ein wildes Tier.
Minute (de),minute (f.),In einer Minute.
entfernen (de),to remove/distance,Entferne das!
stammen (de),to come from/date from,Woher stammst du?
springen (de),to jump,Ich springe hoch.
brauchen (de),to need,Was brauchst du?
Kampf (de),fight/battle (m.),Ein harter Kampf.
fürchten (de),to fear,Ich fürchte mich nicht.
werfen (de),to throw,Wirf den Ball!
Blick (de),glance/look (m.),Ein kurzer Blick.
erwarten (de),to await/expect,Ich erwarte Besuch.
Hunger (de),hunger (m.),Ich habe Hunger.
Vogel (de),bird (m.),Ein kleiner Vogel.
Bett (de),bed (n.),Ich gehe ins Bett.
Freude (de),joy (f.),Große Freude empfinden.
Wagen (de),car/vehicle (m.),Ein alter Wagen.
Versuch (de),attempt/experiment (m.),Ein letzter Versuch.
einsetzen (de),to use/deploy,Die Polizei wird eingesetzt.
Sorge (de),worry/care (f.),Keine Sorge!
bitten (de),to ask/request,Ich bitte dich darum.
Stuhl (de),chair (m.),Setz dich auf den Stuhl.
Fenster (de),window (n.),Öffne das Fenster!
ernst (de),serious,Das ist ernst gemeint.
tief (de),deep,Ein tiefer See.
bewegen (de),to move,Beweg dich nicht!
vergessen (de),to forget,Vergiss mich nicht!
weit (de),far/wide,Wie weit ist es?
Brot (de),bread (n.),Frisches Brot kaufen.
Meinung (de),opinion (f.),Meiner Meinung nach.
Ruhe (de),peace/quiet (f.),Ich brauche Ruhe.
reich (de),rich,Ein reicher Mann.
Gast (de),guest (m.),Ein willkommener Gast.
Gesundheit (de),health (f.),Gute Gesundheit!
wertvoll (de),valuable,Ein wertvoller Ring.
Freundschaft (de),friendship (f.),Eine lange Freundschaft.
Pflanze (de),plant (f.),Die Pflanzen gießen.
küssen (de),to kiss,Sie küssen sich.
beobachten (de),to observe/watch,Die Sterne beobachten.
Hoffnung (de),hope (f.),Alle Hoffnung verlieren.
Winter (de),winter (m.),Der kalte Winter.
Sommer (de),summer (m.),Ein heißer Sommer.
Zustand (de),state/condition (m.),In gutem Zustand.
Frühling (de),spring (m.),Der Frühling kommt.
Herbst (de),autumn (m.),Der bunte Herbst.
Meter (de),meter (m.),Zehn Meter weit.
Himmel (de),sky/heaven (m.),Der blaue Himmel.
Fluss (de),river (m.),Ein breiter Fluss.
Berg (de),mountain (m.),Ein hoher Berg.
See (de),lake (m.),Am See spazieren.
Strand (de),beach (m.),Am Strand liegen.
Meer (de),sea (n.),Das blaue Meer.
Wald (de),forest (m.),Im Wald wandern.
Wiese (de),meadow (f.),Auf der Wiese spielen.
Garten (de),garden (m.),Im Garten arbeiten.
Blume (de),flower (f.),Eine schöne Blume.
Rose (de),rose (f.),Eine rote Rose.
Bahnhof (de),train station (m.),Am Bahnhof warten.
Flughafen (de),airport (m.),Zum Flughafen fahren.
Hotel (de),hotel (n.),Im Hotel übernachten.
Restaurant (de),restaurant (n.),Ins Restaurant gehen.
Café (de),café (n.),Im Café sitzen.
Laden (de),shop (m.),Ein kleiner Laden.
Markt (de),market (m.),Auf dem Markt einkaufen.
Supermarkt (de),supermarket (m.),Im Supermarkt einkaufen.
kaufen (de),to buy,Ich kaufe Brot.
kosten (de),to cost,Was kostet das?
Preis (de),price (m.),Ein hoher Preis.
teuer (de),expensive,Zu teuer für mich!
billig (de),cheap,Sehr billig heute.
Glas (de),glass (n.),Ein Glas Wasser.
Tasse (de),cup (f.),Eine Tasse Kaffee.
Teller (de),plate (m.),Ein leerer Teller.
Löffel (de),spoon (m.),Mit dem Löffel essen.
Messer (de),knife (n.),Ein scharfes Messer.
Gabel (de),fork (f.),Messer und Gabel.
Flasche (de),bottle (f.),Eine Flasche Wein.
essen (de),to eat,Ich esse gerne Pizza.
trinken (de),to drink,Ich trinke Wasser.
hungrig (de),hungry,Ich bin hungrig.
durstig (de),thirsty,Ich bin durstig.
satt (de),full/satisfied,Ich bin satt.
lecker (de),delicious,Das schmeckt lecker!
süß (de),sweet,Zu süß für mich.
sauer (de),sour/angry,Saure Äpfel.
bitter (de),bitter,Ein bitterer Geschmack.
salzig (de),salty,Zu salzig!
scharf (de),sharp/spicy,Sehr scharf gewürzt.
Salz (de),salt (n.),Pass mir das Salz.
Zucker (de),sugar (m.),Ohne Zucker bitte.
Butter (de),butter (f.),Frische Butter.
Käse (de),cheese (m.),Ein Stück Käse.
Milch (de),milk (f.),Ein Glas Milch.
Ei (de),egg (n.),Ein gekochtes Ei.
Fleisch (de),meat (n.),Ich esse kein Fleisch.
Fisch (de),fish (m.),Frischer Fisch.
Gemüse (de),vegetable (n.),Frisches Gemüse.
Obst (de),fruit (n.),Obst ist gesund.
Apfel (de),apple (m.),Ein roter Apfel.
Banane (de),banana (f.),Eine gelbe Banane.
Orange (de),orange (f.),Eine saftige Orange.
Kartoffel (de),potato (f.),Gekochte Kartoffeln.
Reis (de),rice (m.),Mit Reis servieren.
Nudel (de),noodle (f.),Nudeln mit Soße.
Suppe (de),soup (f.),Eine heiße Suppe.
Salat (de),salad (m.),Ein frischer Salat.
Kuchen (de),cake (m.),Ein Stück Kuchen.
Schokolade (de),chocolate (f.),Dunkle Schokolade.
Eis (de),ice cream (n.),Vanilleeis bitte!
heiß (de),hot,Vorsicht sehr heiß!
kalt (de),cold,Das Wasser ist kalt.
warm (de),warm,Angenehm warm.
kühl (de),cool,Schön kühl hier.
Wetter (de),weather (n.),Wie ist das Wetter?
Regen (de),rain (m.),Es gibt Regen.
regnen (de),to rain,Es regnet stark.
Schnee (de),snow (m.),Viel Schnee gefallen.
schneien (de),to snow,Es schneit draußen.
Sonne (de),sun (f.),Die Sonne scheint hell.
Wind (de),wind (m.),Starker Wind heute.
Wolke (de),cloud (f.),Dunkle Wolken am Himmel.
Gewitter (de),thunderstorm (n.),Ein heftiges Gewitter.
Kleidung (de),clothing (f.),Warme Kleidung tragen.
Hemd (de),shirt (n.),Ein weißes Hemd.
Hose (de),pants (f.),Eine blaue Hose.
Rock (de),skirt (m.),Ein kurzer Rock.
Kleid (de),dress (n.),Ein schönes Kleid.
Jacke (de),jacket (f.),Eine warme Jacke.
Mantel (de),coat (m.),Ein langer Mantel.
Schuh (de),shoe (m.),Neue Schuhe kaufen.
Stiefel (de),boot (m.),Hohe Stiefel tragen.
Hut (de),hat (m.),Ein eleganter Hut.
Mütze (de),cap (f.),Eine warme Mütze.
